"","V1","V2","V3","V4","V5","V6","Parameter"
"18732",-0.045,-0.104,-0.044,0.006,996.689,1,"cov_1"
"18733",0.008,-0.024,0.008,0.042,644.837,1,"cov_2"
"18734",-0.027,-0.059,-0.025,-0.001,1132.881,1.001,"cov_3"
"18735",0.137,0.03,0.133,0.269,977.037,1.001,"cov_4"
"18736",-0.111,-0.231,-0.107,-0.011,679.856,1.001,"cov_5"
"18737",-0.002,-0.109,-0.001,0.1,136.388,1.002,"cov_6"
"18738",0.601,0.541,0.6,0.672,4205.074,1,"Sigma2_e"
"18739",0.092,0.083,0.092,0.102,5375.006,1,"Sigma2_ex"
"18740",251.882,221.971,252.095,280.646,760.507,1.005,"lp_"
"18741",1.088,0.928,1.09,1.236,1987.795,1,"B_0"
"18742",0.122,-0.11,0.118,0.36,1971.235,1,"B_x"
"18743",0.301,0.195,0.301,0.41,2921.358,1,"psi"
"18744",0.127,0.07,0.122,0.208,1912.932,1,"Sigma2_intercept"
"18745",0.062,0.025,0.058,0.116,2759.39,1,"Sigma2_psi"
"18746",0.716,0.489,0.697,1.057,2233.318,1,"Sigma2_x"
"18747",0.003,0,0.001,0.015,2989.073,1,"Sigma2_epsilon"
"18748",0.069,0.03,0.065,0.131,2857.127,1,"Sigma2_phi"
"18749",-0.032,-0.069,-0.031,0,2935.274,1,"cov_int_psi"
"18750",0.044,0.013,0.042,0.087,2223.033,1,"cov_int_phi"
"18751",-0.039,-0.071,-0.038,-0.016,3016.201,1,"cov_psi_phi"
"18752",-0.032,-0.069,-0.031,0,2935.274,1,"cov_1"
"18753",0,-0.013,0,0.011,5325.677,1,"cov_2"
"18754",-0.001,-0.011,0,0.007,4057.168,1,"cov_3"
"18755",0.146,0.056,0.143,0.261,2361.231,1,"cov_4"
"18756",-0.128,-0.221,-0.125,-0.056,2817.516,1,"cov_5"
"18757",0,-0.033,0,0.034,1342.567,1,"cov_6"
"18758",0.607,0.548,0.606,0.671,5712.38,1,"Sigma2_e"
"18759",0.093,0.084,0.093,0.103,9156.877,1,"Sigma2_ex"
"18760",236.301,210.025,236.573,261.046,999.511,1,"lp_"
"18761",1.082,0.862,1.083,1.29,1188.016,1,"B_0"
"18762",-0.014,-0.287,-0.013,0.257,1407.365,1,"B_x"
"18763",0.294,0.115,0.296,0.462,943.316,1.002,"psi"
"18764",0.261,0.155,0.252,0.407,1846.663,1,"Sigma2_intercept"
"18765",0.074,0.038,0.071,0.125,2900.957,1,"Sigma2_psi"
"18766",1.01,0.699,0.987,1.441,1859.802,1,"Sigma2_x"
"18767",0.04,0.006,0.036,0.096,1342.045,1,"Sigma2_epsilon"
"18768",0.128,0.061,0.123,0.224,2082.017,1.001,"Sigma2_phi"
"18769",-0.076,-0.138,-0.074,-0.03,2348.261,1,"cov_int_psi"
"18770",0.08,0.022,0.078,0.156,2144.942,1,"cov_int_phi"
"18771",-0.052,-0.095,-0.05,-0.019,2204.409,1,"cov_psi_phi"
"18772",-0.076,-0.138,-0.074,-0.03,2348.261,1,"cov_1"
"18773",0.005,-0.043,0.005,0.055,2135.068,1.003,"cov_2"
"18774",-0.001,-0.033,-0.001,0.032,1698.025,1.002,"cov_3"
