"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.263,0.227,0.263,0.297,4370.425,1.001,"psi"
0.216,0.178,0.216,0.259,1496.842,1,"Sigma2_intercept"
0.032,0.005,0.031,0.06,595.388,1,"Sigma2_epsilon"
0.117,0.086,0.117,0.15,859.679,1,"Sigma2_phi"
1.108,1.108,1.108,1.108,0.5,1,"Sigma2_x"
0.064,0.042,0.064,0.087,3089.938,1,"cov_int_phi"
0.019,-0.005,0.019,0.044,2761.298,1.001,"cov_2"
0.691,0.647,0.691,0.738,1126.864,1,"Sigma2_e"
-1810.348,-1905.157,-1810.082,-1716.497,524.619,1.001,"lp__"
0.998,0.951,0.998,1.044,951.689,1,"B_0"
0.282,0.248,0.281,0.314,2416.643,1.002,"psi"
0.21,0.173,0.21,0.251,1521.518,1,"Sigma2_intercept"
0.008,0,0.005,0.034,102.879,1.029,"Sigma2_epsilon"
0.085,0.065,0.083,0.116,164.133,1.015,"Sigma2_phi"
0.94,0.94,0.94,0.94,0.5,1,"Sigma2_x"
0.045,0.027,0.044,0.065,1176.582,1.002,"cov_int_phi"
0.005,-0.011,0.004,0.025,1059.392,1.003,"cov_2"
0.702,0.661,0.701,0.745,1319.886,1.002,"Sigma2_e"
-1837.004,-1911.209,-1837.572,-1758.636,469.865,1.007,"lp__"
1.033,0.99,1.032,1.077,1826.993,1,"B_0"
0.262,0.229,0.262,0.293,3358.042,1,"psi"
0.18,0.145,0.18,0.218,1193.942,1,"Sigma2_intercept"
0.008,0,0.005,0.028,229.918,1,"Sigma2_epsilon"
0.083,0.063,0.082,0.109,539.832,1,"Sigma2_phi"
1.076,1.076,1.076,1.076,0.5,1,"Sigma2_x"
0.038,0.021,0.037,0.056,1869.411,1.001,"cov_int_phi"
0.004,-0.012,0.003,0.022,1592.945,1.001,"cov_2"
0.734,0.69,0.734,0.78,1136.909,1,"Sigma2_e"
-1907.722,-1983.983,-1910.273,-1819.02,476.713,1,"lp__"
0.967,0.925,0.968,1.009,3888.021,1,"B_0"
0.257,0.226,0.257,0.289,4134.976,1,"psi"
0.189,0.153,0.189,0.23,1395.34,1,"Sigma2_intercept"
0.004,0,0.002,0.019,491.158,1,"Sigma2_epsilon"
0.076,0.059,0.076,0.097,1333.279,1,"Sigma2_phi"
1.061,1.061,1.061,1.061,0.5,1,"Sigma2_x"
0.04,0.025,0.039,0.059,2095.295,1,"cov_int_phi"
0.005,-0.01,0.003,0.024,1870.012,1,"cov_2"
0.733,0.692,0.733,0.776,2394.742,1,"Sigma2_e"
-1907.451,-1982.673,-1907.276,-1832.423,826.07,1,"lp__"
0.98,0.934,0.98,1.024,2346.225,1.002,"B_0"
0.297,0.266,0.297,0.329,2751.481,1,"psi"
0.194,0.157,0.194,0.232,721.125,1,"Sigma2_intercept"
0.007,0,0.004,0.029,104.635,1,"Sigma2_epsilon"
0.1,0.079,0.099,0.13,213.034,1,"Sigma2_phi"
1.043,1.043,1.043,1.043,0.5,1,"Sigma2_x"
0.041,0.023,0.041,0.06,1563.969,1,"cov_int_phi"
0.001,-0.016,0.001,0.019,958.661,1.001,"cov_2"
0.729,0.687,0.729,0.773,1760.142,1,"Sigma2_e"
-1896.93,-1971.718,-1897.85,-1819.111,605.255,1,"lp__"
0.981,0.939,0.98,1.022,2071.872,1,"B_0"
0.309,0.276,0.309,0.342,1376.196,1.002,"psi"
0.193,0.158,0.192,0.231,1079.153,1,"Sigma2_intercept"
0.003,0,0.002,0.016,150.912,1.005,"Sigma2_epsilon"
0.093,0.075,0.093,0.114,2110.138,1,"Sigma2_phi"
0.924,0.924,0.924,0.924,0.5,1,"Sigma2_x"
0.044,0.029,0.044,0.062,2168.338,1.001,"cov_int_phi"
0.004,-0.008,0.003,0.021,1912.693,1,"cov_2"
0.701,0.662,0.7,0.742,2619.292,1,"Sigma2_e"
-1832.351,-1906.071,-1832.159,-1757.681,637.885,1,"lp__"
0.971,0.928,0.97,1.015,2223.116,1,"B_0"
0.277,0.243,0.278,0.311,4049.007,1,"psi"
0.203,0.165,0.203,0.244,1469.376,1.001,"Sigma2_intercept"
0.005,0,0.003,0.022,434.256,1.005,"Sigma2_epsilon"
0.081,0.062,0.08,0.103,1045.094,1.001,"Sigma2_phi"
0.945,0.945,0.945,0.945,0.5,1,"Sigma2_x"
0.047,0.031,0.046,0.067,2076.141,1,"cov_int_phi"
0.006,-0.009,0.005,0.027,1600.135,1.001,"cov_2"
0.719,0.679,0.719,0.762,2125.953,1,"Sigma2_e"
-1877.024,-1953.285,-1876.833,-1802.482,829.238,1,"lp__"
1.012,0.968,1.011,1.054,2938.39,1,"B_0"
0.282,0.252,0.282,0.311,3795.755,1,"psi"
0.211,0.173,0.21,0.251,1287.759,1,"Sigma2_intercept"
0.005,0,0.003,0.021,500.129,1,"Sigma2_epsilon"
0.087,0.068,0.086,0.108,1069.288,1,"Sigma2_phi"
1.005,1.005,1.005,1.005,0.5,1,"Sigma2_x"
0.043,0.027,0.042,0.061,2211.862,1,"cov_int_phi"
0.003,-0.013,0.002,0.021,2005.089,1,"cov_2"
0.674,0.634,0.674,0.713,1974.378,1,"Sigma2_e"
-1772.38,-1850.857,-1772.439,-1693.096,726.412,1,"lp__"
