"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
-0.504,-0.91,-0.56,0.145,85.838,1.003,"cor_3"
0.551,0.422,0.554,0.662,1522.269,1,"cor_4"
-0.453,-0.603,-0.455,-0.288,1228.955,1.001,"cor_5"
0.019,-0.854,0.01,0.894,36.444,1.004,"cor_6"
-0.051,-0.083,-0.051,-0.022,1141.363,1.002,"cov_1"
0.001,-0.048,0,0.061,57.221,1.001,"cov_2"
-0.022,-0.06,-0.021,0.009,64.206,1,"cov_3"
0.205,0.143,0.203,0.276,1416.999,1,"cov_4"
-0.126,-0.185,-0.124,-0.076,1439.032,1.002,"cov_5"
0.005,-0.195,0.001,0.228,46.15,1.002,"cov_6"
0.639,0.607,0.639,0.673,4529.155,1,"Sigma2_e"
0.107,0.102,0.108,0.113,7629.473,1,"Sigma2_ex"
675.543,618.409,675.723,731.674,914.684,1,"lp__"
1.037,0.933,1.038,1.134,737.493,1,"B_0"
0.065,-0.085,0.066,0.207,814.597,1,"B_x"
0.268,0.09,0.27,0.428,62.711,1.004,"psi"
0.217,0.165,0.215,0.282,1263.808,1.001,"Sigma2_intercept"
0.118,0.086,0.117,0.156,1996.048,1,"Sigma2_psi"
1.078,0.887,1.07,1.303,2039.097,1,"Sigma2_x"
0.099,0.043,0.087,0.243,136.338,1,"Sigma2_phi"
0.015,0,0.009,0.063,628.606,1.004,"Sigma2_epsilon"
-0.093,-0.133,-0.092,-0.06,1010.342,1.001,"cov_int_psi"
0.072,0.041,0.071,0.111,1148.443,1,"cov_int_phi"
-0.061,-0.088,-0.06,-0.038,1462.781,1,"cov_psi_phi"
-0.584,-0.724,-0.588,-0.413,922.357,1,"cor_1"
-0.123,-0.719,-0.144,0.55,79.317,1,"cor_2"
-0.271,-0.811,-0.316,0.435,100.652,1,"cor_3"
0.589,0.477,0.592,0.686,1791.987,1,"cor_4"
-0.539,-0.664,-0.542,-0.397,1383.181,1,"cor_5"
0.039,-0.856,0.055,0.895,35.534,1,"cor_6"
-0.093,-0.133,-0.092,-0.06,1010.342,1.001,"cov_1"
-0.004,-0.05,-0.004,0.044,73.319,1.002,"cov_2"
-0.01,-0.046,-0.008,0.019,90.005,1.002,"cov_3"
0.285,0.206,0.281,0.38,1455.94,1.001,"cov_4"
-0.192,-0.262,-0.19,-0.13,1833.741,1,"cov_5"
0.007,-0.153,0.003,0.185,55.47,1.002,"cov_6"
0.595,0.565,0.595,0.627,4665.76,1,"Sigma2_e"
0.1,0.096,0.1,0.106,8061.495,1,"Sigma2_ex"
901.085,845.599,901.503,952.513,911.215,1,"lp__"
1.029,0.931,1.03,1.12,1006.801,1,"B_0"
0.052,-0.1,0.054,0.198,1023.442,1,"B_x"
0.29,0.139,0.292,0.43,72.833,1.015,"psi"
0.165,0.122,0.164,0.219,1249.238,1,"Sigma2_intercept"
0.093,0.067,0.092,0.125,2157.303,1,"Sigma2_psi"
1.14,0.938,1.134,1.386,1830.795,1,"Sigma2_x"
0.114,0.05,0.102,0.248,299.674,1,"Sigma2_phi"
0.011,0,0.007,0.045,349.52,1.007,"Sigma2_epsilon"
