"","V1","V2","V3","V4","V5","V6","Parameter"
"221",1.107,0.961,1.108,1.243,1812.833,1.001,"B_0"
"222",0.103,-0.075,0.102,0.289,1527.639,1.001,"B_x"
"223",0.267,0.085,0.268,0.435,536.844,1,"psi"
"224",0.155,0.073,0.15,0.263,1635.838,1,"Sigma2_intercept"
"225",0.062,0.006,0.057,0.152,1200.05,1,"Sigma2_psi"
"226",0.853,0.649,0.84,1.126,1594.238,1,"Sigma2_x"
"227",0.03,0,0.021,0.108,870.411,1.001,"Sigma2_epsilon"
"228",0.091,0.034,0.087,0.182,1522.785,1.001,"Sigma2_phi"
"229",-0.033,-0.084,-0.032,0.006,1399.409,1,"cov_int_psi"
"230",0.057,0.017,0.054,0.108,1841.392,1,"cov_int_phi"
"231",-0.03,-0.072,-0.028,0.001,1026.474,1,"cov_psi_phi"
"232",-0.033,-0.084,-0.032,0.006,1399.409,1,"cov_1"
"233",0.001,-0.04,0,0.045,1713.038,1,"cov_2"
"234",-0.006,-0.041,-0.003,0.015,1272.139,1,"cov_3"
"235",0.209,0.113,0.204,0.328,1472.726,1,"cov_4"
"236",-0.089,-0.19,-0.086,-0.004,868.725,1.002,"cov_5"
"237",0.003,-0.116,0.001,0.125,366.965,1,"cov_6"
"238",0.641,0.532,0.64,0.755,1303.519,1,"Sigma2_e"
"239",0.113,0.097,0.113,0.133,3820.795,1,"Sigma2_ex"
"240",-84.719,-125.473,-84.227,-44.093,617.883,1,"lp_"
"241",1.002,0.816,1.003,1.17,1988.833,1,"B_0"
"242",-0.058,-0.289,-0.059,0.178,1571.74,1,"B_x"
"243",0.334,0.201,0.334,0.469,1605.019,1,"psi"
"244",0.253,0.137,0.247,0.405,1698.533,1,"Sigma2_intercept"
"245",0.143,0.073,0.138,0.238,1872.908,1,"Sigma2_psi"
"246",1.413,1.077,1.396,1.853,1527.854,1,"Sigma2_x"
"247",0.014,0,0.008,0.064,1644.538,1,"Sigma2_epsilon"
"248",0.171,0.075,0.164,0.304,3052.283,1,"Sigma2_phi"
"249",-0.092,-0.164,-0.089,-0.029,1869.96,1,"cov_int_psi"
"250",0.129,0.059,0.125,0.223,2028.97,1,"cov_int_phi"
"251",-0.083,-0.149,-0.081,-0.035,1822.746,1,"cov_psi_phi"
"252",-0.092,-0.164,-0.089,-0.029,1869.96,1,"cov_1"
"253",0.001,-0.037,0,0.042,3423.059,1.001,"cov_2"
"254",-0.003,-0.035,-0.001,0.022,3636.197,1.001,"cov_3"
"255",0.381,0.223,0.376,0.573,1982.416,1,"cov_4"
"256",-0.239,-0.385,-0.236,-0.121,1705.097,1,"cov_5"
"257",-0.006,-0.119,-0.002,0.094,648.677,1.004,"cov_6"
"258",0.62,0.515,0.618,0.737,2536.099,1.001,"Sigma2_e"
"259",0.09,0.077,0.09,0.105,4571.289,1,"Sigma2_ex"
"260",-32.989,-75.29,-32.623,6.443,805.468,1.001,"lp_"
"261",0.967,0.831,0.967,1.099,2585.423,1,"B_0"
"262",-0.011,-0.227,-0.01,0.204,1733.818,1.002,"B_x"
"263",0.202,0.069,0.202,0.338,791.259,1,"psi"
"264",0.159,0.072,0.154,0.279,1873.929,1.001,"Sigma2_intercept"
"265",0.135,0.067,0.13,0.222,3151.555,1,"Sigma2_psi"
"266",1.133,0.854,1.118,1.509,1591.384,1,"Sigma2_x"
"267",0.01,0,0.004,0.048,1643.645,1,"Sigma2_epsilon"
"268",0.059,0.015,0.055,0.128,3199.381,1,"Sigma2_phi"
"269",-0.096,-0.163,-0.093,-0.043,2070.168,1,"cov_int_psi"
"270",0.033,-0.001,0.032,0.077,1561.39,1,"cov_int_phi"
"271",-0.038,-0.078,-0.037,-0.008,1017.848,1,"cov_psi_phi"
"272",-0.096,-0.163,-0.093,-0.043,2070.168,1,"cov_1"
"273",-0.002,-0.027,0,0.021,2763.296,1,"cov_2"
"274",-0.001,-0.024,0,0.022,2769.825,1,"cov_3"
"275",0.17,0.054,0.168,0.307,1113.028,1,"cov_4"
"276",-0.186,-0.315,-0.183,-0.075,842.629,1,"cov_5"
"277",0.003,-0.071,0.001,0.082,271,1,"cov_6"
"278",0.601,0.508,0.598,0.71,2822.612,1,"Sigma2_e"
"279",0.102,0.088,0.102,0.119,4068.937,1,"Sigma2_ex"
"280",-53.796,-92.542,-53.789,-16.067,774.462,1.002,"lp_"
"281",1.031,0.856,1.033,1.191,1710.206,1.001,"B_0"
"282",0.113,-0.112,0.111,0.334,1520.713,1.001,"B_x"
"283",0.287,0.151,0.287,0.42,1262.438,1.004,"psi"
"284",0.287,0.169,0.281,0.444,2011.549,1,"Sigma2_intercept"
"285",0.195,0.115,0.191,0.297,1540.35,1,"Sigma2_psi"
"286",1.297,0.98,1.283,1.697,1721.638,1,"Sigma2_x"
"287",0.013,0,0.007,0.059,1351.561,1.001,"Sigma2_epsilon"
"288",0.123,0.045,0.118,0.231,2393.279,1.001,"Sigma2_phi"
"289",-0.14,-0.226,-0.136,-0.07,1692.981,1.001,"cov_int_psi"
"290",0.116,0.056,0.113,0.192,1716.17,1.003,"cov_int_phi"
"291",-0.065,-0.123,-0.062,-0.02,2033.831,1,"cov_psi_phi"
"292",-0.14,-0.226,-0.136,-0.07,1692.981,1.001,"cov_1"
"293",0.004,-0.033,0.001,0.047,2413.333,1.001,"cov_2"
"294",-0.008,-0.048,-0.005,0.016,1860.746,1.002,"cov_3"
"295",0.393,0.248,0.386,0.58,1684.887,1.001,"cov_4"
"296",-0.197,-0.334,-0.194,-0.079,1958.826,1.001,"cov_5"
"297",0.002,-0.093,0,0.106,393.858,1.004,"cov_6"
"298",0.478,0.392,0.475,0.578,2032.027,1,"Sigma2_e"
"299",0.109,0.093,0.109,0.128,3373.542,1,"Sigma2_ex"
"300",-19.325,-61.949,-19.057,22.57,839.278,1,"lp_"
"301",0.978,0.852,0.977,1.106,2575.421,1,"B_0"
"302",0.059,-0.12,0.058,0.237,2057.211,1,"B_x"
"303",0.3,0.065,0.301,0.538,409.206,1,"psi"
"304",0.07,0.016,0.066,0.15,1526.443,1,"Sigma2_intercept"
"305",0.14,0.053,0.135,0.26,1585.508,1,"Sigma2_psi"
"306",0.889,0.672,0.874,1.189,1484.381,1,"Sigma2_x"
"307",0.067,0.001,0.059,0.18,734.771,1.007,"Sigma2_epsilon"
"308",0.14,0.051,0.134,0.26,1353.258,1.002,"Sigma2_phi"
"309",-0.008,-0.055,-0.007,0.035,1053.452,1.002,"cov_int_psi"
"310",0.031,-0.01,0.03,0.076,976.704,1,"cov_int_phi"
"311",0.012,-0.041,0.012,0.069,1597.762,1,"cov_psi_phi"
"312",-0.008,-0.055,-0.007,0.035,1053.452,1.002,"cov_1"
"313",-0.003,-0.041,-0.002,0.035,1540.5,1,"cov_2"
"314",0.002,-0.043,0.002,0.048,2202.818,1,"cov_3"
"315",0.112,0.03,0.11,0.211,1139.766,1,"cov_4"
"316",0.034,-0.073,0.032,0.146,1247.594,1,"cov_5"
"317",-0.004,-0.188,-0.002,0.177,301.733,1.001,"cov_6"
"318",0.599,0.491,0.596,0.722,1284.113,1.003,"Sigma2_e"
"319",0.104,0.088,0.103,0.122,3442.043,1,"Sigma2_ex"
"320",-49.613,-91.674,-49.84,-7.207,796.744,1.004,"lp_"
"321",0.938,0.775,0.94,1.092,3193.745,1,"B_0"
"322",0.109,-0.085,0.109,0.296,3086.894,1,"B_x"
"323",0.383,0.245,0.382,0.52,1129.956,1,"psi"
"324",0.215,0.115,0.21,0.34,2124.711,1,"Sigma2_intercept"
"325",0.048,0.001,0.043,0.124,1386.733,1,"Sigma2_psi"
"326",0.927,0.702,0.916,1.224,1742.623,1.002,"Sigma2_x"
"327",0.016,0,0.009,0.07,1332.766,1,"Sigma2_epsilon"
"328",0.149,0.078,0.144,0.251,2965.622,1,"Sigma2_phi"
"329",-0.017,-0.067,-0.015,0.023,2875.804,1,"cov_int_psi"
"330",0.085,0.037,0.082,0.152,2336.56,1,"cov_int_phi"
"331",-0.036,-0.088,-0.033,0.001,765.332,1,"cov_psi_phi"
"332",-0.017,-0.067,-0.015,0.023,2875.804,1,"cov_1"
"333",0.003,-0.027,0.001,0.04,2717.153,1,"cov_2"
"334",-0.001,-0.02,0,0.015,3203.12,1,"cov_3"
"335",0.214,0.105,0.209,0.349,2206.76,1.001,"cov_4"
"336",-0.089,-0.211,-0.084,0.001,703.89,1,"cov_5"
"337",-0.004,-0.103,-0.001,0.082,557.402,1,"cov_6"
"338",0.612,0.512,0.61,0.728,2929.481,1,"Sigma2_e"
"339",0.097,0.083,0.097,0.114,3330.598,1,"Sigma2_ex"
"340",-44.841,-83.074,-44.869,-6.127,844.816,1.003,"lp_"
"341",0.903,0.732,0.902,1.079,1956.668,1.001,"B_0"
"342",-0.114,-0.295,-0.114,0.07,2084.26,1,"B_x"
"343",0.367,0.24,0.368,0.487,842.895,1.005,"psi"
"344",0.354,0.227,0.347,0.518,1784.43,1,"Sigma2_intercept"
"345",0.023,0,0.018,0.076,1494.013,1,"Sigma2_psi"
"346",0.871,0.655,0.859,1.16,1361.213,1,"Sigma2_x"
"347",0.009,0,0.004,0.044,1548.598,1.001,"Sigma2_epsilon"
"348",0.128,0.066,0.124,0.214,2830.883,1,"Sigma2_phi"
"349",-0.023,-0.08,-0.019,0.013,2502.577,1,"cov_int_psi"
"350",0.083,0.028,0.081,0.152,1763.612,1,"cov_int_phi"
"351",-0.021,-0.059,-0.018,0.003,514.313,1,"cov_psi_phi"
"352",-0.023,-0.08,-0.019,0.013,2502.577,1,"cov_1"
"353",0.004,-0.026,0.001,0.041,3312.272,1,"cov_2"
"354",0,-0.01,0,0.009,2882.763,1,"cov_3"
"355",0.216,0.09,0.213,0.364,1598.252,1,"cov_4"
"356",-0.057,-0.158,-0.05,0.006,452.431,1.001,"cov_5"
"357",0.001,-0.066,0,0.077,295.216,1.013,"cov_6"
"358",0.584,0.494,0.582,0.689,3456.619,1,"Sigma2_e"
"359",0.103,0.089,0.103,0.121,4353.482,1,"Sigma2_ex"
"360",-47.68,-84.975,-47.495,-10.45,910.396,1,"lp_"
"361",0.994,0.855,0.993,1.135,1754.43,1,"B_0"
"362",0.127,-0.037,0.125,0.3,1569.812,1,"B_x"
"363",0.292,0.08,0.294,0.501,375.491,1.004,"psi"
"364",0.148,0.069,0.143,0.25,1731.475,1,"Sigma2_intercept"
"365",0.056,0.001,0.048,0.16,865.475,1.003,"Sigma2_psi"
"366",0.722,0.548,0.713,0.949,1493.906,1.001,"Sigma2_x"
"367",0.04,0,0.031,0.136,799.408,1,"Sigma2_epsilon"
"368",0.101,0.037,0.095,0.199,1063.221,1,"Sigma2_phi"
"369",-0.011,-0.056,-0.01,0.029,1939.39,1,"cov_int_psi"
"370",0.049,0.006,0.047,0.1,1296.899,1,"cov_int_phi"
"371",-0.022,-0.066,-0.019,0.007,621.061,1,"cov_psi_phi"
"372",-0.011,-0.056,-0.01,0.029,1939.39,1,"cov_1"
"373",0.001,-0.041,0,0.044,1537.919,1.002,"cov_2"
"374",-0.003,-0.035,-0.001,0.022,1657.438,1,"cov_3"
"375",0.164,0.074,0.163,0.264,896.948,1.003,"cov_4"
"376",-0.064,-0.163,-0.061,0.009,550.193,1,"cov_5"
"377",0.002,-0.124,0.001,0.129,261.923,1.005,"cov_6"
"378",0.649,0.534,0.646,0.777,1272.575,1,"Sigma2_e"
"379",0.108,0.092,0.108,0.128,3428.197,1.001,"Sigma2_ex"
"380",-76.984,-118.024,-76.978,-36.304,713.699,1.002,"lp_"
"381",0.916,0.749,0.917,1.078,1886.646,1,"B_0"
